Customer_Speaking,Till_Response
"Could I have Vegan Royale, 20 Chilli Bites, Chilli Jam Halumi","Sure! You've ordered Vegan Royale, 20 Chilli Bites, Chilli Jam Halumi."
"Can I get large 6 Chilli Bites, Bacon Double","Sure! You've ordered 6 Chilli Bites, Bacon Double."
I'd like to order Cocacola Zero,Sure! You've ordered Cocacola Zero.
"Can I get PB Whopper, 20 Chilli Bites, Chimichuri Loaded Fries","Sure! You've ordered PB Whopper, 20 Chilli Bites, Chimichuri Loaded Fries."
"I'll have Chicken Royale, 4 Nuggets","Sure! You've ordered Chicken Royale, 4 Nuggets."
"I want Large Fries, Bacon Stacker","Sure! You've ordered Large Fries, Bacon Stacker."
"I need Bacon Loaded Fries, Fries","Sure! You've ordered Bacon Loaded Fries, Fries."
"I'd like to order 20 Doritos, 4 Chilli Bites, Hot Chilli","Sure! You've ordered 20 Doritos, 4 Chilli Bites, Hot Chilli."
"I'll have Bacon Loaded Fries, PB Whopper","Sure! You've ordered Bacon Loaded Fries, PB Whopper."
"Please give me Diet Cocacola, 20 Nuggets","Sure! You've ordered Diet Cocacola, 20 Nuggets."
I need Tea,Sure! You've ordered Tea.
"Please give me small Steakhouse Angus, Chimichuri Chicken, Chilli Jam Halumi","Sure! You've ordered Steakhouse Angus, Chimichuri Chicken, Chilli Jam Halumi."
"I'd like to order large 20 Nuggets, Cocacola Zero","Sure! You've ordered 20 Nuggets, Cocacola Zero."
"Can I get 4 Chilli Bites, Diet Cocacola, 4 Nuggets","Sure! You've ordered 4 Chilli Bites, Diet Cocacola, 4 Nuggets."
"I'd like to order Chimichuri Loaded Fries, Chilli Jam Whopper, PB Whopper","Sure! You've ordered Chimichuri Loaded Fries, Chilli Jam Whopper, PB Whopper."
Can I get small Diet Cocacola,Sure! You've ordered Diet Cocacola.
I need 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
Could I have Tea,Sure! You've ordered Tea.
"Can you get me PB Whopper, medium 20 Nuggets","Sure! You've ordered PB Whopper, 20 Nuggets."
"I want 9 Chilli Bites, Cheese Burger","Sure! You've ordered 9 Chilli Bites, Cheese Burger."
Can you get me Bacon Double X L,Sure! You've ordered Bacon Double X L.
Please give me Whopper,Sure! You've ordered Whopper.
"I want large Chimichuri Angus, Chimichuri Loaded Fries","Sure! You've ordered Chimichuri Angus, Chimichuri Loaded Fries."
"I want Ham Burger, small Steakhouse Chicken, small Chimichuri Loaded Fries","Sure! You've ordered Ham Burger, Steakhouse Chicken, Chimichuri Loaded Fries."
"Can I get large Tea, Cocacola Classic","Sure! You've ordered Tea, Cocacola Classic."
"Could I have Tea, 4 Chilli Bites, Cheese Burger","Sure! You've ordered Tea, 4 Chilli Bites, Cheese Burger."
I'd like to order Tea,Sure! You've ordered Tea.
"Can you get me Cocacola Zero, small Small Fries","Sure! You've ordered Cocacola Zero, Small Fries."
"Can you get me small Chilli Jam Halumi, 3 Chilli Bites, large Chimichuri Chicken","Sure! You've ordered Chilli Jam Halumi, 3 Chilli Bites, Chimichuri Chicken."
"I need small 6 Doritos, Barbeque Sauce, Steakhouse Angus","Sure! You've ordered 6 Doritos, Barbeque Sauce, Steakhouse Angus."
"I need Steakhouse Angus, medium Chimichuri Loaded Fries, Large Fries","Sure! You've ordered Steakhouse Angus, Chimichuri Loaded Fries, Large Fries."
"Can I get medium Small Fries, Classic Double Melt","Sure! You've ordered Small Fries, Classic Double Melt."
Can you get me small Bacon Double,Sure! You've ordered Bacon Double.
"I'll have Large Fries, PB Whopper, Fries","Sure! You've ordered Large Fries, PB Whopper, Fries."
"I'll have small Steakhouse Angus, Steakhouse Chicken","Sure! You've ordered Steakhouse Angus, Steakhouse Chicken."
Could I have Bacon Double X L,Sure! You've ordered Bacon Double X L.
Please give me Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
Please give me Fries,Sure! You've ordered Fries.
"I need 6 Nuggets, Bacon Double","Sure! You've ordered 6 Nuggets, Bacon Double."
I want Cheese Burger,Sure! You've ordered Cheese Burger.
"I'd like to order large Small Fries, small Steakhouse Angus","Sure! You've ordered Small Fries, Steakhouse Angus."
"I want 6 Nuggets, small 3 Chilli Bites, large Ham Burger","Sure! You've ordered 6 Nuggets, 3 Chilli Bites, Ham Burger."
"Can you get me Chilli Jam Whopper, Cocacola Classic","Sure! You've ordered Chilli Jam Whopper, Cocacola Classic."
"Please give me medium 6 Doritos, small Barbeque Sauce","Sure! You've ordered 6 Doritos, Barbeque Sauce."
"I'll have Tea, Cocacola Classic, Large Fries","Sure! You've ordered Tea, Cocacola Classic, Large Fries."
"I'd like to order 3 Chilli Bites, Mayo","Sure! You've ordered 3 Chilli Bites, Mayo."
I'll have large Fanta,Sure! You've ordered Fanta.
"I want Chilli Jam Whopper, large Classic Double Melt","Sure! You've ordered Chilli Jam Whopper, Classic Double Melt."
Could I have Fanta,Sure! You've ordered Fanta.
"I'll have large Bacon Stacker, medium PB Whopper, small Sprite Zero","Sure! You've ordered Bacon Stacker, PB Whopper, Sprite Zero."
"I want small 6 Doritos, small Steakhouse Angus, medium Chimichuri Angus","Sure! You've ordered 6 Doritos, Steakhouse Angus, Chimichuri Angus."
"Please give me large Whopper, 6 Nuggets, medium 9 Doritos","Sure! You've ordered Whopper, 6 Nuggets, 9 Doritos."
"Could I have Steakhouse Angus, Bacon Stacker, Chimichuri Loaded Fries","Sure! You've ordered Steakhouse Angus, Bacon Stacker, Chimichuri Loaded Fries."
"I want Chimichuri Chicken, 6 Nuggets","Sure! You've ordered Chimichuri Chicken, 6 Nuggets."
"I want large Fries, Classic Double Melt, Chicken Royale","Sure! You've ordered Fries, Classic Double Melt, Chicken Royale."
I'd like to order small 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
"I need 6 Nuggets, large Chimichuri Angus, medium Chicken Royale","Sure! You've ordered 6 Nuggets, Chimichuri Angus, Chicken Royale."
Can you get me small Fries,Sure! You've ordered Fries.
"Can you get me medium Fries, medium Diet Cocacola","Sure! You've ordered Fries, Diet Cocacola."
"I need Fries, Classic Double Melt","Sure! You've ordered Fries, Classic Double Melt."
"I'd like to order Classic Double Melt, small Bacon Double","Sure! You've ordered Classic Double Melt, Bacon Double."
"I want large Cheese Loaded Fries, Ham Burger","Sure! You've ordered Cheese Loaded Fries, Ham Burger."
"Can I get medium Barbeque Double Melt, Cheese Loaded Fries, Water","Sure! You've ordered Barbeque Double Melt, Cheese Loaded Fries, Water."
"Could I have small Bacon Double X L, small Tea, large Fries","Sure! You've ordered Bacon Double X L, Tea, Fries."
"I'll have 4 Nuggets, large Whopper","Sure! You've ordered 4 Nuggets, Whopper."
"Please give me 9 Doritos, Chimichuri Chicken","Sure! You've ordered 9 Doritos, Chimichuri Chicken."
Could I have Vegan Royale,Sure! You've ordered Vegan Royale.
I'll have 6 Chilli Bites,Sure! You've ordered 6 Chilli Bites.
"Please give me small 20 Nuggets, medium Chimichuri Loaded Fries, Chimichuri Chicken","Sure! You've ordered 20 Nuggets, Chimichuri Loaded Fries, Chimichuri Chicken."
Can I get small Ham Burger,Sure! You've ordered Ham Burger.
Can you get me 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I'll have Chicken Royale, medium Cocacola Zero, Chimichuri Loaded Fries","Sure! You've ordered Chicken Royale, Cocacola Zero, Chimichuri Loaded Fries."
I need Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"I need Chilli Jam Halumi, large 20 Nuggets","Sure! You've ordered Chilli Jam Halumi, 20 Nuggets."
I want 9 Chilli Bites,Sure! You've ordered 9 Chilli Bites.
I'd like to order Chilli Jam Halumi,Sure! You've ordered Chilli Jam Halumi.
"Could I have Sprite Zero, Cocacola Zero, Cheese Loaded Fries","Sure! You've ordered Sprite Zero, Cocacola Zero, Cheese Loaded Fries."
"Could I have 4 Nuggets, Bacon Stacker","Sure! You've ordered 4 Nuggets, Bacon Stacker."
"Could I have medium Bacon Double, medium 3 Chilli Bites","Sure! You've ordered Bacon Double, 3 Chilli Bites."
"Can you get me 9 Chilli Bites, 5 Doritos","Sure! You've ordered 9 Chilli Bites, 5 Doritos."
"Can you get me Ham Burger, 4 Chilli Bites, Chicken Royale","Sure! You've ordered Ham Burger, 4 Chilli Bites, Chicken Royale."
"I want PB Whopper, 6 Nuggets, Bacon Loaded Fries","Sure! You've ordered PB Whopper, 6 Nuggets, Bacon Loaded Fries."
"I need Fanta, 3 Chilli Bites, Chimichuri Angus","Sure! You've ordered Fanta, 3 Chilli Bites, Chimichuri Angus."
"I'll have 9 Doritos, Bacon Double","Sure! You've ordered 9 Doritos, Bacon Double."
"I want 6 Chilli Bites, large 20 Chilli Bites, 3 Chilli Bites","Sure! You've ordered 6 Chilli Bites, 20 Chilli Bites, 3 Chilli Bites."
"I'd like to order Whopper, small Chilli Jam Whopper, Chimichuri Angus","Sure! You've ordered Whopper, Chilli Jam Whopper, Chimichuri Angus."
Can I get Diet Cocacola,Sure! You've ordered Diet Cocacola.
"Could I have Chimichuri Angus, large Chimichuri Chicken, 4 Nuggets","Sure! You've ordered Chimichuri Angus, Chimichuri Chicken, 4 Nuggets."
I'll have large 6 Nuggets,Sure! You've ordered 6 Nuggets.
Could I have medium 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
Could I have 9 Nuggets,Sure! You've ordered 9 Nuggets.
I want 9 Nuggets,Sure! You've ordered 9 Nuggets.
Can you get me 20 Chilli Bites,Sure! You've ordered 20 Chilli Bites.
"I'll have Vegan Royale, Cocacola Classic","Sure! You've ordered Vegan Royale, Cocacola Classic."
"I want 9 Nuggets, Steakhouse Angus, 9 Chilli Bites","Sure! You've ordered 9 Nuggets, Steakhouse Angus, 9 Chilli Bites."
"Could I have 4 Nuggets, Cheese Loaded Fries, Bacon Double X L","Sure! You've ordered 4 Nuggets, Cheese Loaded Fries, Bacon Double X L."
"Can I get Classic Double Melt, Chilli Jam Halumi, 3 Chilli Bites","Sure! You've ordered Classic Double Melt, Chilli Jam Halumi, 3 Chilli Bites."
"Could I have Diet Cocacola, large Cocacola Classic, Sprite Zero","Sure! You've ordered Diet Cocacola, Cocacola Classic, Sprite Zero."
"Can I get Diet Cocacola, 6 Nuggets, 4 Nuggets","Sure! You've ordered Diet Cocacola, 6 Nuggets, 4 Nuggets."
"I need small Bacon Stacker, 6 Nuggets, Bacon Double X L","Sure! You've ordered Bacon Stacker, 6 Nuggets, Bacon Double X L."
"Can I get large Chimichuri Chicken, large Chilli Jam Halumi","Sure! You've ordered Chimichuri Chicken, Chilli Jam Halumi."
"Can you get me Steakhouse Angus, medium Mayo","Sure! You've ordered Steakhouse Angus, Mayo."
Could I have Cheese Burger,Sure! You've ordered Cheese Burger.
"I need 5 Doritos, Small Fries","Sure! You've ordered 5 Doritos, Small Fries."
"Can I get Chimichuri Angus, large Vegan Royale, medium Sprite Zero","Sure! You've ordered Chimichuri Angus, Vegan Royale, Sprite Zero."
"Please give me 20 Doritos, 20 Chilli Bites","Sure! You've ordered 20 Doritos, 20 Chilli Bites."
Please give me 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I need Chimichuri Loaded Fries, Steakhouse Angus","Sure! You've ordered Chimichuri Loaded Fries, Steakhouse Angus."
"Could I have 9 Nuggets, small Bacon Stacker","Sure! You've ordered 9 Nuggets, Bacon Stacker."
I want 6 Doritos,Sure! You've ordered 6 Doritos.
Could I have Classic Double Melt,Sure! You've ordered Classic Double Melt.
Please give me Mayo,Sure! You've ordered Mayo.
"Please give me 3 Chilli Bites, Cocacola Zero","Sure! You've ordered 3 Chilli Bites, Cocacola Zero."
Please give me 3 Chilli Bites,Sure! You've ordered 3 Chilli Bites.
Please give me small Bacon Double X L,Sure! You've ordered Bacon Double X L.
"Can I get small 20 Chilli Bites, small Large Fries","Sure! You've ordered 20 Chilli Bites, Large Fries."
"I need medium Steakhouse Angus, small 20 Doritos","Sure! You've ordered Steakhouse Angus, 20 Doritos."
"I want 20 Chilli Bites, Chilli Jam Halumi, small Chicken Royale","Sure! You've ordered 20 Chilli Bites, Chilli Jam Halumi, Chicken Royale."
"Could I have large 6 Doritos, Cocacola Classic","Sure! You've ordered 6 Doritos, Cocacola Classic."
Can you get me large Chilli Jam Whopper,Sure! You've ordered Chilli Jam Whopper.
"Can you get me Chicken Royale, 6 Nuggets, medium Chilli Jam Whopper","Sure! You've ordered Chicken Royale, 6 Nuggets, Chilli Jam Whopper."
"I want small Spicy Mayo, Fries","Sure! You've ordered Spicy Mayo, Fries."
I want Chimichuri Chicken,Sure! You've ordered Chimichuri Chicken.
"Can you get me small 5 Doritos, Chimichuri Chicken, Large Fries","Sure! You've ordered 5 Doritos, Chimichuri Chicken, Large Fries."
Can you get me small Fanta,Sure! You've ordered Fanta.
I'd like to order Chicken Royale,Sure! You've ordered Chicken Royale.
"Please give me Steakhouse Angus, Whopper, Cheese Burger","Sure! You've ordered Steakhouse Angus, Whopper, Cheese Burger."
"Please give me Chimichuri Angus, Spicy Mayo","Sure! You've ordered Chimichuri Angus, Spicy Mayo."
Can I get 9 Nuggets,Sure! You've ordered 9 Nuggets.
"I'd like to order small Chilli Jam Halumi, Chimichuri Angus, large 6 Doritos","Sure! You've ordered Chilli Jam Halumi, Chimichuri Angus, 6 Doritos."
"Could I have 6 Doritos, large Bacon Loaded Fries, Barbeque Sauce","Sure! You've ordered 6 Doritos, Bacon Loaded Fries, Barbeque Sauce."
"Can I get Barbeque Sauce, large Steakhouse Angus, Chicken Royale","Sure! You've ordered Barbeque Sauce, Steakhouse Angus, Chicken Royale."
I'll have 9 Doritos,Sure! You've ordered 9 Doritos.
"I'll have Vegan Royale, small Steakhouse Angus, Fries","Sure! You've ordered Vegan Royale, Steakhouse Angus, Fries."
Could I have Large Fries,Sure! You've ordered Large Fries.
"Please give me large 5 Doritos, 6 Nuggets","Sure! You've ordered 5 Doritos, 6 Nuggets."
I need Ham Burger,Sure! You've ordered Ham Burger.
Please give me Barbeque Double Melt,Sure! You've ordered Barbeque Double Melt.
"Can I get medium Cheese Loaded Fries, 5 Doritos, small 6 Chilli Bites","Sure! You've ordered Cheese Loaded Fries, 5 Doritos, 6 Chilli Bites."
I want 4 Nuggets,Sure! You've ordered 4 Nuggets.
